skos:altLabel{Literal}[12],"Shaḳspir, Ṿilyam, 1564-1616",skos:altLabel{Literal}[12]
skos:altLabel{Literal}[13],"Shekspir, U. (Uiliam), 1564-1616",skos:altLabel{Literal}[13]
skos:altLabel{Literal}[14],"Shekspir, Uiliam, 1564-1616",skos:altLabel{Literal}[14]
skos:altLabel{Literal}[15],"Shekspir, Uĭlii︠a︡m, 1564-1616",skos:altLabel{Literal}[15]
skos:altLabel{Literal}[16],"Shekspir, V. (Vilʹi︠a︡m), 1564-1616",skos:altLabel{Literal}[16]
skos:altLabel{Literal}[17],"Shekspir, Vilʹi︠a︡m, 1564-1616",skos:altLabel{Literal}[17]
skos:altLabel{Literal}[18],"Shekspyr, Vyli︠e︡m, 1564-1616",skos:altLabel{Literal}[18]
skos:altLabel{Literal}[19],"Shekspīʼar, Viliyam, 1564-1616",skos:altLabel{Literal}[19]
skos:altLabel{Literal}[20],"Sheḳspier, Ṿilyam, 1564-1616",skos:altLabel{Literal}[20]
skos:altLabel{Literal}[21],"Sheḳspir, Ṿilyam, 1564-1616",skos:altLabel{Literal}[21]
skos:altLabel{Literal}[22],"Shikisbīr, Wilyam, 1564-1616",skos:altLabel{Literal}[22]
skos:altLabel{Literal}[23],"Shēkʻspir, 1564-1616",skos:altLabel{Literal}[23]
skos:altLabel{Literal}[24],"Shēkʻspʻiyr, Vlilliam, 1564-1616",skos:altLabel{Literal}[24]
skos:altLabel{Literal}[25],"Syeiksŭpʻio, 1564-1616",skos:altLabel{Literal}[25]
skos:altLabel{Literal}[26],"Szekspir, Wiliam, 1564-1616",skos:altLabel{Literal}[26]
skos:altLabel{Literal}[27],"Szekspir, William, 1564-1616",skos:altLabel{Literal}[27]
skos:altLabel{Literal}[28],"Tsikinya-chaka, 1564-1616",skos:altLabel{Literal}[28]
skos:altLabel{Literal}[29],"Śeksper, 1564-1616",skos:altLabel{Literal}[29]
skos:altLabel{Literal}[30],"Şekspir, 1564-1616",skos:altLabel{Literal}[30]
skos:altLabel{Literal}[31],"Şekspir, Velyam, 1564-1616",skos:altLabel{Literal}[31]
skos:altLabel{Literal}[32],"Šekspir, Vilijam, 1564-1616",skos:altLabel{Literal}[32]
skos:altLabel{Literal}[33],"Šekspir, Viljem, 1564-1616",skos:altLabel{Literal}[33]
skos:altLabel{Literal}[34],"Šekspyras, 1564-1616",skos:altLabel{Literal}[34]
skos:altLabel{Literal}[35],"Šekʻspiri, Uiliam, 1564-1616",skos:altLabel{Literal}[35]
skos:altLabel{Literal}[36],"Ṣēkspiyar Mahākavi, 1564-1616",skos:altLabel{Literal}[36]
skos:altLabel{Literal}[37],"Ṣēkspiyar Mahākaviya, 1564-1616",skos:altLabel{Literal}[37]
skos:altLabel{Literal}[38],"Ṣēkspiyar, 1564-1616",skos:altLabel{Literal}[38]
skos:altLabel{Literal}[39],"Ṣēkspiyar, Viliyam, 1564-1616",skos:altLabel{Literal}[39]
skos:altLabel{Literal}[40],"Ṣēkspiyar, Villiyam, 1564-1616",skos:altLabel{Literal}[40]
skos:inScheme{URIRef}[0],http://id.worldcat.org/fast/ontology/1.0/#facet-Personal,skos:inScheme{URIRef}[0]
skos:inScheme{URIRef}[1],http://id.worldcat.org/fast/ontology/1.0/#fast,skos:inScheme{URIRef}[1]
skos:prefLabel{Literal},"Shakespeare, William, 1564-1616",skos:prefLabel{Literal}
entity,http://id.worldcat.org/fast/29048,entity
