@id,http://id.worldcat.org/fast/1037825,prop,http://id.loc.gov/authorities/subjects/sh97003090,http://babelnet.org/rdf/data/s02830721n?output=xml
0,schema:Intangible,schema:Intangible,,
1,1037825,1037825,,
2,1967 A.D.,1967 A.D.,1967 A.D.,
3,1967 A.D.,1967 A.D.,1967 A.D.,
4,"Nineteen hundred sixty seven, A.D.","Nineteen hundred sixty seven, A.D.","Nineteen hundred sixty seven, A.D.",
5,"Nineteen hundred sixty seven, A.D.","Nineteen hundred sixty seven, A.D.","Nineteen hundred sixty seven, A.D.",
6,"Nineteen sixty-seven, A.D.","Nineteen sixty-seven, A.D.","Nineteen sixty-seven, A.D.",
7,"Nineteen sixty-seven, A.D.","Nineteen sixty-seven, A.D.","Nineteen sixty-seven, A.D.",
8,"Year nineteen sixty-seven, A.D.","Year nineteen sixty-seven, A.D.","Year nineteen sixty-seven, A.D.",
9,"Year nineteen sixty-seven, A.D.","Year nineteen sixty-seven, A.D.","Year nineteen sixty-seven, A.D.",
10,http://id.loc.gov/authorities/subjects/sh97003090,http://id.loc.gov/authorities/subjects/sh97003090,http://id.loc.gov/authorities/subjects/sh97003090,
11,http://id.worldcat.org/fast/1037817,http://id.worldcat.org/fast/1037817,,
12,http://id.worldcat.org/fast/ontology/1.0/#facet-Topical,http://id.worldcat.org/fast/ontology/1.0/#facet-Topical,,
13,http://id.worldcat.org/fast/ontology/1.0/#fast,http://id.worldcat.org/fast/ontology/1.0/#fast,,
14,http://id.worldcat.org/fast/1037825,http://id.worldcat.org/fast/1037825,http://id.worldcat.org/fast/1037825,
15,,http://id.loc.gov/resources/works/14013797,http://id.loc.gov/resources/works/14013797,
16,,http://id.loc.gov/resources/works/15678111,http://id.loc.gov/resources/works/15678111,
17,,http://id.loc.gov/resources/works/19285669,http://id.loc.gov/resources/works/19285669,
18,,http://id.loc.gov/resources/works/19398396,http://id.loc.gov/resources/works/19398396,
19,,http://id.loc.gov/resources/works/19582948,http://id.loc.gov/resources/works/19582948,
20,,http://id.loc.gov/resources/works/19584451,http://id.loc.gov/resources/works/19584451,
21,,http://id.loc.gov/resources/works/19756144,http://id.loc.gov/resources/works/19756144,
22,,http://id.loc.gov/resources/works/20383981,http://id.loc.gov/resources/works/20383981,
23,,http://id.loc.gov/resources/works/20981456,http://id.loc.gov/resources/works/20981456,
24,,http://id.loc.gov/resources/works/719908,http://id.loc.gov/resources/works/719908,
25,,sh 97003090,sh 97003090,
26,,N733171bb8c684eb6a167fc45c0063fce,N733171bb8c684eb6a167fc45c0063fce,
27,,Nb949d732da754618b273f449f8ce533d,Nb949d732da754618b273f449f8ce533d,
28,,N1b97ff64d83d46019e6fafbec33fe1d4,N1b97ff64d83d46019e6fafbec33fe1d4,
29,,http://id.loc.gov/authorities/subjects/sh96005475,http://id.loc.gov/authorities/subjects/sh96005475,
30,,http://data.bnf.fr/ark:/12148/cb131884682,http://data.bnf.fr/ark:/12148/cb131884682,
31,,http://www.wikidata.org/entity/Q2648,http://www.wikidata.org/entity/Q2648,
32,,Ne29497db60274680a12f3a3b9c6f226e,Ne29497db60274680a12f3a3b9c6f226e,
33,,N0a7d75e0bda846f299cf8587164b862f,N0a7d75e0bda846f299cf8587164b862f,
34,,N4c4e15a07c334cfcbee2d36f4a170d03,N4c4e15a07c334cfcbee2d36f4a170d03,
35,,Nc62e152f9f184a298c00ebdaea61a475,Nc62e152f9f184a298c00ebdaea61a475,
36,,http://id.loc.gov/authorities/subjects/collection_LCSHAuthorizedHeadings,http://id.loc.gov/authorities/subjects/collection_LCSHAuthorizedHeadings,
37,,http://id.loc.gov/authorities/subjects/collection_LCSH_General,http://id.loc.gov/authorities/subjects/collection_LCSH_General,
38,,http://id.loc.gov/authorities/subjects,http://id.loc.gov/authorities/subjects,
39,,madsrdf:Authority,madsrdf:Authority,
40,,madsrdf:Topic,madsrdf:Topic,
41,,skos:Concept,skos:Concept,
42,,http://id.loc.gov/authorities/sh97003090#concept,http://id.loc.gov/authorities/sh97003090#concept,
43,,info:lc/authorities/sh97003090,info:lc/authorities/sh97003090,
44,,N39061ab9eb0649e0861340da6bcb2392,N39061ab9eb0649e0861340da6bcb2392,
45,,N6084a9d146864807b7f2542f8f968f13,N6084a9d146864807b7f2542f8f968f13,
46,,N862fba8775ba45eaac77fcbd727f86ce,N862fba8775ba45eaac77fcbd727f86ce,
47,,Na6c7dd17dbe14f95a7782aeaa06ad8bc,Na6c7dd17dbe14f95a7782aeaa06ad8bc,
48,,Nb7027cf3f9c34584b5bc0cd63a65d999,Nb7027cf3f9c34584b5bc0cd63a65d999,
49,,RDF description of S02830721n,,RDF description of S02830721n
50,,bn:s02830721n,,bn:s02830721n
51,,http://babelnet.org/rdf/data/s02830721n?output=xml,,http://babelnet.org/rdf/data/s02830721n?output=xml
