@id,wd:Q9439,full_coverage
schema1:name{Literal}@be-tarask,Вікторыя,schema1:name{Literal}@be-tarask
schema1:name{Literal}@bg,Виктория,schema1:name{Literal}@bg
schema1:name{Literal}@bho,रानी विक्टोरिया,schema1:name{Literal}@bho
schema1:name{Literal}@bn,রানি ভিক্টোরিয়া,schema1:name{Literal}@bn
schema1:name{Literal}@br,Victoria,schema1:name{Literal}@br
schema1:name{Literal}@bs,"Viktorija, kraljica Ujedinjenog Kraljevstva",schema1:name{Literal}@bs
schema1:name{Literal}@ca,Reina Victòria del Regne Unit,schema1:name{Literal}@ca
schema1:name{Literal}@cdo,Victoria Nṳ̄-uòng,schema1:name{Literal}@cdo
schema1:name{Literal}@ckb,ڤیکتۆریا,schema1:name{Literal}@ckb
schema1:name{Literal}@cs,Viktorie Britská,schema1:name{Literal}@cs
schema1:name{Literal}@cv,Виктория,schema1:name{Literal}@cv
schema1:name{Literal}@cy,"Victoria, brenhines y Deyrnas Unedig",schema1:name{Literal}@cy
schema1:name{Literal}@da,Victoria af Storbritannien,schema1:name{Literal}@da
schema1:name{Literal}@de,Victoria,schema1:name{Literal}@de
schema1:name{Literal}@de-ch,Victoria,schema1:name{Literal}@de-ch
schema1:name{Literal}@dty,महारानी भिक्टोरिया,schema1:name{Literal}@dty
schema1:name{Literal}@el,Βασίλισσα Βικτωρία,schema1:name{Literal}@el
schema1:name{Literal}@en-ca,Queen Victoria,schema1:name{Literal}@en-ca
schema1:name{Literal}@en-gb,Queen Victoria,schema1:name{Literal}@en-gb
schema1:name{Literal}@eo,Viktoria de Britio,schema1:name{Literal}@eo
schema1:name{Literal}@es,Victoria del Reino Unido,schema1:name{Literal}@es
schema1:name{Literal}@et,Victoria,schema1:name{Literal}@et
schema1:name{Literal}@eu,Viktoria Erresuma Batukoa,schema1:name{Literal}@eu
schema1:name{Literal}@fa,ویکتوریای پادشاهی متحده,schema1:name{Literal}@fa
schema1:name{Literal}@fi,Viktoria,schema1:name{Literal}@fi
schema1:name{Literal}@fo,Victoria drotning,schema1:name{Literal}@fo
schema1:name{Literal}@fr,Victoria,schema1:name{Literal}@fr
schema1:name{Literal}@frr,Victoria (Ferianigt Köningrik),schema1:name{Literal}@frr
schema1:name{Literal}@fy,Victoria fan it Feriene Keninkryk,schema1:name{Literal}@fy
schema1:name{Literal}@ga,Victoria na Ríochta Aontaithe,schema1:name{Literal}@ga
schema1:name{Literal}@gd,Ban-rìgh Bhictoria,schema1:name{Literal}@gd
schema1:name{Literal}@gl,Vitoria do Reino Unido,schema1:name{Literal}@gl
schema1:name{Literal}@gsw,"Victoria, Chenigi vu Großbritannien un Irland",schema1:name{Literal}@gsw
schema1:name{Literal}@hak,Vì-tô-li-â Ńg-vòng,schema1:name{Literal}@hak
schema1:name{Literal}@he,ויקטוריה,schema1:name{Literal}@he
schema1:name{Literal}@hi,विक्टोरिया,schema1:name{Literal}@hi
schema1:name{Literal}@hr,"Viktorija, kraljica Ujedinjenog Kraljevstva",schema1:name{Literal}@hr
schema1:name{Literal}@hu,Viktória brit királynő,schema1:name{Literal}@hu
