@id,http://viaf.org/viaf/96994048,full_coverage
schema:alternateName{Literal}[55],Shekspīr,Shekspīr
schema:alternateName{Literal}[56],Sheḳsper,Sheḳsper
schema:alternateName{Literal}[57],Shig-si-phi-ya,Shig-si-phi-ya
schema:alternateName{Literal}[58],Shikspiyar,Shikspiyar
schema:alternateName{Literal}[59],Shikspīr,Shikspīr
schema:alternateName{Literal}[60],Shēkʻspir,Shēkʻspir
schema:alternateName{Literal}[61],Shīkspīr,Shīkspīr
schema:alternateName{Literal}[62],Swan of Avon,Swan of Avon
schema:alternateName{Literal}[63],Syeiksŭpʻio,Syeiksŭpʻio
schema:alternateName{Literal}[64],Syeiksǔp‘io,Syeiksǔp‘io
schema:alternateName{Literal}[65],Syeokseupieo,Syeokseupieo
schema:alternateName{Literal}[66],Szekspir,Szekspir
schema:alternateName{Literal}[67],Tsikinya-chaka,Tsikinya-chaka
schema:alternateName{Literal}[68],U Shekspir,U Shekspir
schema:alternateName{Literal}[69],U. Sekspir,U. Sekspir
schema:alternateName{Literal}[70],U. Shekspir,U. Shekspir
schema:alternateName{Literal}[71],U. èekspir,U. èekspir
schema:alternateName{Literal}[72],U. Šekspir,U. Šekspir
schema:alternateName{Literal}[73],Uil'jam Šekspir,Uil'jam Šekspir
schema:alternateName{Literal}[74],Uil'âm Šekspir,Uil'âm Šekspir
schema:alternateName{Literal}[75],Uiliam Shekspir,Uiliam Shekspir
schema:alternateName{Literal}[76],Uiliam Šek'spiri,Uiliam Šek'spiri
schema:alternateName{Literal}[77],Uiliam Šekʻspiri,Uiliam Šekʻspiri
schema:alternateName{Literal}[78],Uiliem Shekspir,Uiliem Shekspir
schema:alternateName{Literal}[79],Uiljam Sjekspir,Uiljam Sjekspir
schema:alternateName{Literal}[80],Uiljam Šekspir,Uiljam Šekspir
schema:alternateName{Literal}[81],Uiljjam Shekspir,Uiljjam Shekspir
schema:alternateName{Literal}[82],Uilliam Saixpēr,Uilliam Saixpēr
schema:alternateName{Literal}[83],Uilyam Shekʻspir,Uilyam Shekʻspir
schema:alternateName{Literal}[84],Uilyam Şekspir,Uilyam Şekspir
schema:alternateName{Literal}[85],Uilyam Šekʹspir,Uilyam Šekʹspir
schema:alternateName{Literal}[86],Uilʹi︠a︡m Shekspir,Uilʹi︠a︡m Shekspir
schema:alternateName{Literal}[87],Uilʹjam Šekspir,Uilʹjam Šekspir
schema:alternateName{Literal}[88],Uil‘jam Šekspir,Uil‘jam Šekspir
schema:alternateName{Literal}[89],Uiriamu Sheikusupia,Uiriamu Sheikusupia
schema:alternateName{Literal}[90],Uílliam Saíxpēr,Uílliam Saíxpēr
schema:alternateName{Literal}[91],Uíïlliam Sakespeĩros,Uíïlliam Sakespeĩros
schema:alternateName{Literal}[92],Uïlliam Saixper,Uïlliam Saixper
schema:alternateName{Literal}[93],Uĭlii︠a︡m Shekspir,Uĭlii︠a︡m Shekspir
schema:alternateName{Literal}[94],V Shekspir,V Shekspir
schema:alternateName{Literal}[95],V. Shakespeare,V. Shakespeare
schema:alternateName{Literal}[96],V. Shekspir,V. Shekspir
schema:alternateName{Literal}[97],V. Šekspir,V. Šekspir
schema:alternateName{Literal}[98],V. Šekspira,V. Šekspira
schema:alternateName{Literal}[99],V. Šekspirs,V. Šekspirs
schema:alternateName{Literal}[100],V. Šekspyras,V. Šekspyras
