@id,bflc:subjectOf{URIRef}[0],bflc:subjectOf{URIRef}[1],bflc:subjectOf{URIRef}[2],bflc:subjectOf{URIRef}[3],bflc:subjectOf{URIRef}[4],bflc:subjectOf{URIRef}[5],bflc:subjectOf{URIRef}[6],bflc:subjectOf{URIRef}[7],bflc:subjectOf{URIRef}[8],bflc:subjectOf{URIRef}[9],bflc:subjectOf{URIRef}[10],bflc:subjectOf{URIRef}[11],identifiers:lccn{Literal},madsrdf:adminMetadata{BNode}[0],madsrdf:adminMetadata{BNode}[1],madsrdf:authoritativeLabel{Literal}@en,madsrdf:authoritativeLabel{Literal}@fr,madsrdf:authoritativeLabel{Literal},madsrdf:elementList{BNode},madsrdf:hasBroaderAuthority{URIRef},madsrdf:hasCloseExternalAuthority{URIRef}[0],madsrdf:hasCloseExternalAuthority{URIRef}[1],madsrdf:hasCloseExternalAuthority{URIRef}[2],madsrdf:hasSource{BNode},madsrdf:hasVariant{BNode}[0],madsrdf:hasVariant{BNode}[1],madsrdf:hasVariant{BNode}[2],madsrdf:isMemberOfMADSCollection{URIRef}[0],madsrdf:isMemberOfMADSCollection{URIRef}[1],madsrdf:isMemberOfMADSScheme{URIRef},rdf:type{URIRef}[0],rdf:type{URIRef}[1],rdf:type{URIRef}[2],owl:sameAs{URIRef}[0],owl:sameAs{URIRef}[1],skos:altLabel{Literal}[0]@en,skos:altLabel{Literal}[1]@en,skos:altLabel{Literal}[2]@en,skos:broader{URIRef},skos:changeNote{BNode}[0],skos:changeNote{BNode}[1],skos:closeMatch{URIRef}[0],skos:closeMatch{URIRef}[1],skos:closeMatch{URIRef}[2],skos:inScheme{URIRef},skos:prefLabel{Literal}@en,skos:prefLabel{Literal}@fr,skos:prefLabel{Literal},skosxl:altLabel{BNode}[0],skosxl:altLabel{BNode}[1],skosxl:altLabel{BNode}[2],cs:changeReason{Literal}(xsd:string),cs:createdDate{Literal}(xsd:dateTime),cs:creatorName{URIRef},cs:subjectOfChange{URIRef},rdf:first{BNode},rdf:rest{URIRef},skosxl:literalForm{Literal}@en,madsrdf:elementValue{Literal}@en,bflc:aap{Literal},ri:recordChangeDate{Literal}(xsd:dateTime),ri:recordContentSource{URIRef},ri:recordStatus{Literal}(xsd:string),madsrdf:variantLabel{Literal}@en,madsrdf:citationSource{Literal},madsrdf:citationStatus{Literal},entity
Nc6e9ed384c7e4f249640ba8c28d0d4e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cs:ChangeSet,,,,,,,,,,,,,,,,,,,,,new,1993-11-05T00:00:00,http://id.loc.gov/vocabulary/organizations/dlc,http://id.loc.gov/authorities/subjects/sh93008322,,,,,,,,,,,,Nc6e9ed384c7e4f249640ba8c28d0d4e3
Nc9be2e07a9274e3fbdfbadaf178edc75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N1934469063e04b64b65586badf9ebab5,rdf:nil,,,,,,,,,,Nc9be2e07a9274e3fbdfbadaf178edc75
Ne45888f0c0a64f3288b377cdd50af14e,,,,,,,,,,,,,,,,,,,N7140f70b23c74fab891d14e0429385cb,,,,,,,,,,,,madsrdf:Topic,madsrdf:Variant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nineteen hundred sixty-nine, A.D.",,,Ne45888f0c0a64f3288b377cdd50af14e
Ne61210ad4d27498e9af8c2bad5edb68f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ri:RecordInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993-11-05T00:00:00,http://id.loc.gov/vocabulary/organizations/dlc,new,,,,Ne61210ad4d27498e9af8c2bad5edb68f
Nea41036e5e0e48bd833f1f63a9e977aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,madsrdf:TopicElement,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nineteen sixty-nine, A.D.",,,,,,,,Nea41036e5e0e48bd833f1f63a9e977aa
Neb5af5d20b15466084a3aacea7bc52c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,madsrdf:TopicElement,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nineteen sixties,,,,,,,,Neb5af5d20b15466084a3aacea7bc52c5
Nfbc451929c2f42279394878111171e98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,madsrdf:TopicElement,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Year nineteen sixty-nine, A.D.",,,,,,,,Nfbc451929c2f42279394878111171e98
Nfbe9be96c70b4c48a04979845d592fb2,,,,,,,,,,,,,,,,,,,N8bd8230ce3de4cf7b4015f6f1dfdb464,,,,,,,,,,,,madsrdf:Topic,madsrdf:Variant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Year nineteen sixty-nine, A.D.",,,Nfbe9be96c70b4c48a04979845d592fb2
http://data.bnf.fr/ark:/12148/cb13331811t,,,,,,,,,,,,,,,,,Année 1969,,,,,,,,,,,,,,madsrdf:Authority,skos:Concept,,,,,,,,,,,,,,,Année 1969,,,,,,,,,,,,,,,,,,,,http://data.bnf.fr/ark:/12148/cb13331811t
http://id.loc.gov/authorities/subjects/sh93008322,http://id.loc.gov/resources/works/11865217,http://id.loc.gov/resources/works/15484168,http://id.loc.gov/resources/works/15719944,http://id.loc.gov/resources/works/15811916,http://id.loc.gov/resources/works/16036405,http://id.loc.gov/resources/works/16264044,http://id.loc.gov/resources/works/18471247,http://id.loc.gov/resources/works/20779164,http://id.loc.gov/resources/works/20941125,http://id.loc.gov/resources/works/21559498,http://id.loc.gov/resources/works/22246390,http://id.loc.gov/resources/works/7594633,sh 93008322,N461946ce3a5e410eacaeef018091d649,Ne61210ad4d27498e9af8c2bad5edb68f,"Nineteen sixty-nine, A.D.",,,N208b0b84832d472eb134dca4ef3edcdc,http://id.loc.gov/authorities/subjects/sh96005475,http://data.bnf.fr/ark:/12148/cb13331811t,http://id.worldcat.org/fast/1037823,http://www.wikidata.org/entity/Q2485,N678e95c1749a46b4ae076e5859cfb475,N8427138e771d4aafa10b1a94385f00aa,Ne45888f0c0a64f3288b377cdd50af14e,Nfbe9be96c70b4c48a04979845d592fb2,http://id.loc.gov/authorities/subjects/collection_LCSHAuthorizedHeadings,http://id.loc.gov/authorities/subjects/collection_LCSH_General,http://id.loc.gov/authorities/subjects,madsrdf:Authority,madsrdf:Topic,skos:Concept,http://id.loc.gov/authorities/sh93008322#concept,info:lc/authorities/sh93008322,1969 A.D.,"Nineteen hundred sixty-nine, A.D.","Year nineteen sixty-nine, A.D.",http://id.loc.gov/authorities/subjects/sh96005475,N3d22ec28322548a08d5a4506d0f115a6,Nc6e9ed384c7e4f249640ba8c28d0d4e3,http://data.bnf.fr/ark:/12148/cb13331811t,http://id.worldcat.org/fast/1037823,http://www.wikidata.org/entity/Q2485,http://id.loc.gov/authorities/subjects,"Nineteen sixty-nine, A.D.",,,N0d5e3ebe957543a089f804ebdcfcdac2,N154ac25ca93147f2a6e9bab29c766147,N3f2e916d36164a9fb3ef8ce9e0621693,,,,,,,,,,,,,,,,http://id.loc.gov/authorities/subjects/sh93008322
http://id.loc.gov/authorities/subjects/sh96005475,,,,,,,,,,,,,,,,Nineteen sixties,,,N4167ff15200a4ec189c545762df9197e,,,,,,,,,,,,madsrdf:Authority,madsrdf:Topic,skos:Concept,,,,,,,,,,,,,Nineteen sixties,,,,,,,,,,,,,,,,,,,,,http://id.loc.gov/authorities/subjects/sh96005475
http://id.loc.gov/resources/works/11865217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf:Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Trentin, Bruno. Autunno caldo : il secondo biennio rosso 1968-1969",,,,,,,http://id.loc.gov/resources/works/11865217
http://id.loc.gov/resources/works/15484168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf:Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirkpatrick, Rob. 1969 : the year everything changed",,,,,,,http://id.loc.gov/resources/works/15484168
http://id.loc.gov/resources/works/15719944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf:Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pollock, Bruce. By the time we got to Woodstock : the great rock 'n' roll revolution of 1969",,,,,,,http://id.loc.gov/resources/works/15719944
http://id.loc.gov/resources/works/15811916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf:Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conti, Paolo. 1969 : tutto in un anno",,,,,,,http://id.loc.gov/resources/works/15811916
http://id.loc.gov/resources/works/16036405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf:Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Knauer, Kelly. 1969 : Woodstock, the moon, and Manson : the turbulent end of the 60's",,,,,,,http://id.loc.gov/resources/works/16036405
http://id.loc.gov/resources/works/16264044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf:Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Julien, Jacques. Archiver l'anarchie : le capital de 1969 : essai",,,,,,,http://id.loc.gov/resources/works/16264044
http://id.loc.gov/resources/works/18471247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf:Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dick, R. H. (Robert H.), 1943- Utrillo's children : a memoir of Paris in 1969",,,,,,,http://id.loc.gov/resources/works/18471247
http://id.loc.gov/resources/works/20779164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf:Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hilderbrand, Elin, Summer of '69",,,,,,,http://id.loc.gov/resources/works/20779164
http://id.loc.gov/resources/works/20941125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf:Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vriese, Geert de, 1962- Woodstock in Belgie : de eerste festivals",,,,,,,http://id.loc.gov/resources/works/20941125
http://id.loc.gov/resources/works/21559498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf:Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ferrero, Paolo, 1969 : quando gli operai hanno rovesciato il mondo : sull'attualità dell'autunno caldo",,,,,,,http://id.loc.gov/resources/works/21559498
http://id.loc.gov/resources/works/22246390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf:Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kataritsugu 1969 : Kasuya Takayuki tsuitō 50-nen : sono sei to shi 語り継ぐ 1969 : 糟谷孝幸追悼 50年 : その生と死,,,,,,,http://id.loc.gov/resources/works/22246390
http://id.loc.gov/resources/works/7594633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf:Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elórquiz, Silvino. Recuerdos personales de 1969",,,,,,,http://id.loc.gov/resources/works/7594633
http://id.worldcat.org/fast/1037823,,,,,,,,,,,,,,,,,,"Nineteen sixty-nine, A.D.",,,,,,,,,,,,,madsrdf:Authority,skos:Concept,,,,,,,,,,,,,,,,"Nineteen sixty-nine, A.D.",,,,,,,,,,,,,,,,,,,http://id.worldcat.org/fast/1037823
http://www.wikidata.org/entity/Q2485,,,,,,,,,,,,,,,,,,1969,,,,,,,,,,,,,madsrdf:Authority,skos:Concept,,,,,,,,,,,,,,,,1969,,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q2485
