@id,http://id.worldcat.org/fast/29048,prop,http://id.loc.gov/authorities/names/n78095332,http://viaf.org/viaf/96994048,http://babelnet.org/rdf/data/s00008556n?output=xml,http://dbpedia.org/resource/William_Shakespeare
42,"Shekspīʼar, Viliyam, 1564-1616","Shekspīʼar, Viliyam, 1564-1616","Shekspīʼar, Viliyam, 1564-1616",,,
43,"Sheḳspier, Ṿilyam, 1564-1616","Sheḳspier, Ṿilyam, 1564-1616","Sheḳspier, Ṿilyam, 1564-1616",,,
44,"Sheḳspier, Ṿilyam, 1564-1616","Sheḳspier, Ṿilyam, 1564-1616","Sheḳspier, Ṿilyam, 1564-1616",,,
45,"Sheḳspir, Ṿilyam, 1564-1616","Sheḳspir, Ṿilyam, 1564-1616","Sheḳspir, Ṿilyam, 1564-1616",,,
46,"Sheḳspir, Ṿilyam, 1564-1616","Sheḳspir, Ṿilyam, 1564-1616","Sheḳspir, Ṿilyam, 1564-1616",,,
47,"Shikisbīr, Wilyam, 1564-1616","Shikisbīr, Wilyam, 1564-1616","Shikisbīr, Wilyam, 1564-1616",,,
48,"Shikisbīr, Wilyam, 1564-1616","Shikisbīr, Wilyam, 1564-1616","Shikisbīr, Wilyam, 1564-1616",,,
49,"Shēkʻspir, 1564-1616","Shēkʻspir, 1564-1616","Shēkʻspir, 1564-1616",,,
50,"Shēkʻspir, 1564-1616","Shēkʻspir, 1564-1616","Shēkʻspir, 1564-1616",,,
51,"Shēkʻspʻiyr, Vlilliam, 1564-1616","Shēkʻspʻiyr, Vlilliam, 1564-1616","Shēkʻspʻiyr, Vlilliam, 1564-1616",,,
52,"Shēkʻspʻiyr, Vlilliam, 1564-1616","Shēkʻspʻiyr, Vlilliam, 1564-1616","Shēkʻspʻiyr, Vlilliam, 1564-1616",,,
53,"Syeiksŭpʻio, 1564-1616","Syeiksŭpʻio, 1564-1616","Syeiksŭpʻio, 1564-1616",,,
54,"Syeiksŭpʻio, 1564-1616","Syeiksŭpʻio, 1564-1616","Syeiksŭpʻio, 1564-1616",,,
55,"Szekspir, Wiliam, 1564-1616","Szekspir, Wiliam, 1564-1616","Szekspir, Wiliam, 1564-1616",,,
56,"Szekspir, Wiliam, 1564-1616","Szekspir, Wiliam, 1564-1616","Szekspir, Wiliam, 1564-1616",,,
57,"Szekspir, William, 1564-1616","Szekspir, William, 1564-1616","Szekspir, William, 1564-1616",,,
58,"Szekspir, William, 1564-1616","Szekspir, William, 1564-1616","Szekspir, William, 1564-1616",,,
59,"Tsikinya-chaka, 1564-1616","Tsikinya-chaka, 1564-1616","Tsikinya-chaka, 1564-1616",,,
60,"Tsikinya-chaka, 1564-1616","Tsikinya-chaka, 1564-1616","Tsikinya-chaka, 1564-1616",,,
61,"Śeksper, 1564-1616","Śeksper, 1564-1616","Śeksper, 1564-1616",,,
62,"Śeksper, 1564-1616","Śeksper, 1564-1616","Śeksper, 1564-1616",,,
63,"Şekspir, 1564-1616","Şekspir, 1564-1616","Şekspir, 1564-1616",,,
64,"Şekspir, 1564-1616","Şekspir, 1564-1616","Şekspir, 1564-1616",,,
65,"Şekspir, Velyam, 1564-1616","Şekspir, Velyam, 1564-1616","Şekspir, Velyam, 1564-1616",,,
66,"Şekspir, Velyam, 1564-1616","Şekspir, Velyam, 1564-1616","Şekspir, Velyam, 1564-1616",,,
67,"Šekspir, Vilijam, 1564-1616","Šekspir, Vilijam, 1564-1616","Šekspir, Vilijam, 1564-1616",,,
68,"Šekspir, Vilijam, 1564-1616","Šekspir, Vilijam, 1564-1616","Šekspir, Vilijam, 1564-1616",,,
69,"Šekspir, Viljem, 1564-1616","Šekspir, Viljem, 1564-1616","Šekspir, Viljem, 1564-1616",,,
70,"Šekspir, Viljem, 1564-1616","Šekspir, Viljem, 1564-1616","Šekspir, Viljem, 1564-1616",,,
71,"Šekspyras, 1564-1616","Šekspyras, 1564-1616","Šekspyras, 1564-1616",,,
72,"Šekspyras, 1564-1616","Šekspyras, 1564-1616","Šekspyras, 1564-1616",,,
73,"Šekʻspiri, Uiliam, 1564-1616","Šekʻspiri, Uiliam, 1564-1616","Šekʻspiri, Uiliam, 1564-1616",,,
74,"Šekʻspiri, Uiliam, 1564-1616","Šekʻspiri, Uiliam, 1564-1616","Šekʻspiri, Uiliam, 1564-1616",,,
75,"Ṣēkspiyar Mahākavi, 1564-1616","Ṣēkspiyar Mahākavi, 1564-1616","Ṣēkspiyar Mahākavi, 1564-1616",,,
76,"Ṣēkspiyar Mahākavi, 1564-1616","Ṣēkspiyar Mahākavi, 1564-1616","Ṣēkspiyar Mahākavi, 1564-1616",,,
77,"Ṣēkspiyar Mahākaviya, 1564-1616","Ṣēkspiyar Mahākaviya, 1564-1616","Ṣēkspiyar Mahākaviya, 1564-1616",,,
78,"Ṣēkspiyar Mahākaviya, 1564-1616","Ṣēkspiyar Mahākaviya, 1564-1616","Ṣēkspiyar Mahākaviya, 1564-1616",,,
79,"Ṣēkspiyar, 1564-1616","Ṣēkspiyar, 1564-1616","Ṣēkspiyar, 1564-1616",,,
80,"Ṣēkspiyar, 1564-1616","Ṣēkspiyar, 1564-1616","Ṣēkspiyar, 1564-1616",,,
81,"Ṣēkspiyar, Viliyam, 1564-1616","Ṣēkspiyar, Viliyam, 1564-1616","Ṣēkspiyar, Viliyam, 1564-1616",,,
